Categoría,Producto,Presentación,anio,mes,Fecha_mes,cantidad_total_mes,num_pedidos,num_clientes,lag_1,lag_2,lag_3,media_movil_3,mes_seno,mes_coseno
Cremas,Crema agria,Tarrina 200g,2024,4,2024-04-01,16396,34,18,21640.0,13353.0,12876.0,15956.333333333334,0.8660254037844387,-0.4999999999999998
Cremas,Crema agria,Tarrina 200g,2024,5,2024-05-01,18317,36,16,16396.0,21640.0,13353.0,17129.666666666668,0.49999999999999994,-0.8660254037844387
Cremas,Crema agria,Tarrina 200g,2024,6,2024-06-01,12906,28,16,18317.0,16396.0,21640.0,18784.333333333332,1.2246467991473532e-16,-1.0
Cremas,Crema agria,Tarrina 200g,2024,7,2024-07-01,20483,36,18,12906.0,18317.0,16396.0,15873.0,-0.4999999999999997,-0.8660254037844388
Cremas,Crema agria,Tarrina 200g,2024,8,2024-08-01,18346,36,16,20483.0,12906.0,18317.0,17235.333333333332,-0.8660254037844385,-0.5000000000000004
Cremas,Crema agria,Tarrina 200g,2024,9,2024-09-01,15494,33,15,18346.0,20483.0,12906.0,17245.0,-1.0,-1.8369701987210297e-16
Cremas,Crema agria,Tarrina 200g,2024,10,2024-10-01,16539,33,16,15494.0,18346.0,20483.0,18107.666666666668,-0.8660254037844386,0.5000000000000001
Cremas,Crema agria,Tarrina 200g,2024,11,2024-11-01,13168,33,15,16539.0,15494.0,18346.0,16793.0,-0.5000000000000004,0.8660254037844384
Cremas,Crema agria,Tarrina 200g,2024,12,2024-12-01,16416,34,17,13168.0,16539.0,15494.0,15067.0,-2.4492935982947064e-16,1.0
Cremas,Crema batida,Spray 250ml,2024,4,2024-04-01,13006,31,16,12790.0,19409.0,19257.0,17152.0,0.8660254037844387,-0.4999999999999998
Cremas,Crema batida,Spray 250ml,2024,5,2024-05-01,15984,28,17,13006.0,12790.0,19409.0,15068.333333333334,0.49999999999999994,-0.8660254037844387
Cremas,Crema batida,Spray 250ml,2024,6,2024-06-01,17517,37,15,15984.0,13006.0,12790.0,13926.666666666666,1.2246467991473532e-16,-1.0
Cremas,Crema batida,Spray 250ml,2024,7,2024-07-01,21083,37,16,17517.0,15984.0,13006.0,15502.333333333334,-0.4999999999999997,-0.8660254037844388
