Categoría,Producto,Presentación,anio,mes,Fecha_mes,cantidad_total_mes,num_pedidos,num_clientes
Cremas,Crema agria,Tarrina 200g,2024,1,2024-01-01,12876,29,17
Cremas,Crema batida,Spray 250ml,2024,1,2024-01-01,19257,38,17
Cremas,Crema de leche,Cartón 946ml,2024,1,2024-01-01,14676,33,17
Cremas,Queso crema,Tarrina 250g,2024,1,2024-01-01,16982,35,16
Leche,Bebidas lácteas,Botella 1L,2024,1,2024-01-01,3044,6,4
Leche,Bebidas lácteas,Botella 500ml,2024,1,2024-01-01,1872,6,6
Leche,Leche condensada,Lata 397g,2024,1,2024-01-01,8300,18,12
Leche,Leche descremada,Individual,2024,1,2024-01-01,4489,6,6
Leche,Leche descremada,Litro,2024,1,2024-01-01,3586,7,6
Leche,Leche deslactosada,Individual,2024,1,2024-01-01,6659,11,8
Leche,Leche deslactosada,Litro,2024,1,2024-01-01,4042,11,10
Leche,Leche en polvo,Bolsa 400g,2024,1,2024-01-01,2807,6,5
Leche,Leche en polvo,Bolsa 800g,2024,1,2024-01-01,4845,10,9
Leche,Leche entera,Galón,2024,1,2024-01-01,4896,10,9
Leche,Leche entera,Individual,2024,1,2024-01-01,2374,3,3
Leche,Leche entera,Litro,2024,1,2024-01-01,1384,5,4
Leche,Leche evaporada,Lata 354ml,2024,1,2024-01-01,8083,16,11
Leche,Leche saborizada,Botella 500 ml,2024,1,2024-01-01,2248,8,7
Leche,Leche saborizada,Individual,2024,1,2024-01-01,3146,6,5
Leche,Leche semidescremada,Individual,2024,1,2024-01-01,5639,9,7
Leche,Leche semidescremada,Litro,2024,1,2024-01-01,5322,9,6
Mantequilla,Mantequilla clarificada (ghee),Frasco 300ml,2024,1,2024-01-01,26785,50,18
Mantequilla,Mantequilla con sal,Paquete 454g,2024,1,2024-01-01,27240,51,17
Mantequilla,Mantequilla sin sal,Paquete 454g,2024,1,2024-01-01,22233,48,20
Otros,Cuajada,Envase 250g,2024,1,2024-01-01,16437,34,16
Otros,Dulce de leche,Frasco 250g,2024,1,2024-01-01,19057,38,15
Otros,Helado,Barra individual,2024,1,2024-01-01,5769,12,10
Otros,Helado,Tarrina 500ml,2024,1,2024-01-01,7788,14,12
Otros,Suero de leche,Botella 1L,2024,1,2024-01-01,17901,35,18
Quesos,Queso azul gorgonzola,Cuña 150g,2024,1,2024-01-01,3372,6,5
Quesos,Queso azul roquefort,Cuña 150g,2024,1,2024-01-01,4088,9,8
Quesos,Queso blanco,Bloque 500g,2024,1,2024-01-01,5283,11,10
Quesos,Queso brie,Cuña 200g,2024,1,2024-01-01,5191,8,7
Quesos,Queso camembert,Cuña 200g,2024,1,2024-01-01,5825,12,9
Quesos,Queso cheddar añejo,Bloque 300g,2024,1,2024-01-01,5568,10,8
Quesos,Queso edam,Bloque 300g,2024,1,2024-01-01,3156,8,5
