iter	RMSE
0	6632.270291
1	6376.420758
2	6155.340254
3	5930.62042
4	5724.820607
5	5540.243934
6	5359.526069
7	5175.021933
8	5006.658272
9	4852.540902
10	4704.943613
11	4559.759029
12	4423.817903
13	4286.151585
14	4156.797977
15	4039.426899
16	3926.934956
17	3832.824464
18	3734.601743
19	3647.43144
20	3569.662261
21	3505.304675
22	3426.991184
23	3362.08552
24	3293.335256
25	3224.540768
26	3159.546083
27	3109.529644
28	3055.266527
29	3008.190384
30	2958.770191
31	2914.56643
32	2868.56258
33	2832.35146
34	2794.865596
35	2762.860132
36	2734.542994
37	2710.725321
38	2684.189199
39	2656.974536
40	2635.463581
41	2612.124686
42	2590.772172
43	2574.453807
44	2553.759946
45	2535.838501
46	2521.193954
47	2505.010748
48	2489.260549
49	2473.873939
50	2459.374245
51	2447.078053
52	2435.736135
53	2423.913485
54	2412.617244
55	2404.546443
56	2396.9556
57	2385.905543
58	2376.991842
59	2369.970375
60	2361.688205
61	2356.149667
62	2349.763432
63	2341.422075
64	2335.688699
65	2331.730584
66	2327.208905
67	2318.548513
68	2314.773957
69	2308.833242
70	2302.700176
71	2297.164651
72	2293.254977
73	2285.372425
74	2284.36131
75	2281.853607
76	2275.721414
77	2269.99029
78	2265.931609
79	2259.926308
80	2253.824747
81	2249.337672
82	2244.216036
83	2241.334244
84	2234.920227
85	2230.532329
86	2225.523734
87	2220.682029
88	2217.7118
89	2213.511684
90	2208.727401
91	2207.012737
92	2203.436563
93	2200.80942
94	2196.847884
95	2194.152916
96	2190.332978
97	2189.311364
98	2185.979701
99	2184.128685
100	2179.09766
101	2175.751277
102	2173.801977
103	2171.044303
104	2169.474125
105	2167.361389
106	2163.957293
107	2162.148017
108	2157.242068
109	2154.466456
110	2151.936764
111	2149.598743
112	2144.274219
113	2142.30209
114	2140.954517
115	2137.869555
116	2136.392849
