iter	Passed	Remaining
0	164	81944
1	197	49129
2	211	35065
3	237	29494
4	264	26186
5	290	23926
6	315	22250
7	340	20957
8	364	19892
9	390	19135
10	422	18801
11	450	18317
12	475	17823
13	500	17364
14	525	16992
15	551	16692
16	580	16507
17	607	16268
18	633	16039
19	658	15793
20	683	15590
21	703	15294
22	729	15135
23	753	14953
24	782	14870
25	807	14727
26	834	14610
27	861	14520
28	890	14456
29	934	14639
30	961	14541
31	987	14438
32	1013	14343
33	1041	14280
34	1069	14203
35	1105	14250
36	1141	14288
37	1168	14202
38	1193	14108
39	1219	14020
40	1244	13932
41	1269	13842
42	1294	13756
43	1312	13603
44	1337	13521
45	1363	13454
46	1387	13374
47	1412	13301
48	1436	13218
49	1462	13162
50	1499	13197
51	1524	13133
52	1549	13069
53	1574	13002
54	1599	12944
55	1626	12892
56	1653	12847
57	1677	12785
58	1702	12726
59	1729	12682
60	1754	12623
61	1780	12575
62	1806	12527
63	1830	12469
64	1855	12418
65	1882	12375
66	1911	12355
67	1950	12390
68	1980	12368
69	2005	12321
70	2033	12286
71	2060	12248
72	2087	12207
73	2111	12155
74	2124	12039
75	2150	11995
76	2176	11958
77	2204	11929
78	2229	11881
79	2253	11833
80	2277	11783
81	2302	11737
82	2328	11696
83	2352	11651
84	2376	11605
85	2401	11560
86	2425	11513
87	2450	11471
88	2475	11433
89	2501	11397
90	2528	11362
91	2546	11293
92	2571	11252
93	2597	11218
94	2622	11179
95	2647	11142
96	2672	11105
97	2697	11064
98	2724	11037
99	2750	11001
100	2775	10963
101	2800	10929
102	2826	10895
103	2853	10864
104	2878	10827
105	2903	10790
106	2929	10757
107	2954	10724
108	2980	10690
109	3006	10658
110	3035	10638
111	3061	10606
112	3087	10572
113	3111	10536
114	3136	10501
115	3166	10482
116	3192	10450
