Categoría,Producto,Presentación,Fecha_mes,prediccion
Cremas,Crema agria,Tarrina 200g,2025-01-01,16761
Cremas,Crema batida,Spray 250ml,2025-01-01,17070
Cremas,Crema de leche,Cartón 946ml,2025-01-01,17187
Cremas,Queso crema,Tarrina 250g,2025-01-01,16536
Leche,Bebidas lácteas,Botella 1L,2025-01-01,4584
Leche,Bebidas lácteas,Botella 500ml,2025-01-01,4584
Leche,Leche condensada,Lata 397g,2025-01-01,6597
Leche,Leche descremada,Individual,2025-01-01,4472
Leche,Leche descremada,Litro,2025-01-01,4379
Leche,Leche deslactosada,Individual,2025-01-01,4274
Leche,Leche deslactosada,Litro,2025-01-01,4333
Leche,Leche en polvo,Bolsa 400g,2025-01-01,4283
Leche,Leche en polvo,Bolsa 800g,2025-01-01,4288
Leche,Leche entera,Galón,2025-01-01,4358
Leche,Leche entera,Individual,2025-01-01,4348
Leche,Leche entera,Litro,2025-01-01,4257
Leche,Leche evaporada,Lata 354ml,2025-01-01,4600
Leche,Leche saborizada,Botella 500 ml,2025-01-01,4617
Leche,Leche saborizada,Individual,2025-01-01,4502
Leche,Leche semidescremada,Individual,2025-01-01,4212
Leche,Leche semidescremada,Litro,2025-01-01,4345
Mantequilla,Mantequilla clarificada (ghee),Frasco 300ml,2025-01-01,22957
Mantequilla,Mantequilla con sal,Paquete 454g,2025-01-01,22663
Mantequilla,Mantequilla sin sal,Paquete 454g,2025-01-01,22799
Otros,Cuajada,Envase 250g,2025-01-01,16504
Otros,Dulce de leche,Frasco 250g,2025-01-01,17548
Otros,Helado,Barra individual,2025-01-01,9014
Otros,Helado,Tarrina 500ml,2025-01-01,9011
Otros,Suero de leche,Botella 1L,2025-01-01,17360
Quesos,Queso azul gorgonzola,Cuña 150g,2025-01-01,4333
Quesos,Queso azul roquefort,Cuña 150g,2025-01-01,4237
Quesos,Queso blanco,Bloque 500g,2025-01-01,4237
Quesos,Queso brie,Cuña 200g,2025-01-01,4479
Quesos,Queso camembert,Cuña 200g,2025-01-01,4414
Quesos,Queso cheddar añejo,Bloque 300g,2025-01-01,4459
Quesos,Queso edam,Bloque 300g,2025-01-01,4252
Quesos,Queso en lonchas,Paquete 200g,2025-01-01,4419
Quesos,Queso gouda,Bloque 300g,2025-01-01,4751
Quesos,Queso gruyere,Bloque 300g,2025-01-01,4237
Quesos,Queso havarti,Bloque 200g,2025-01-01,4522
Quesos,Queso mozzarella,Paquete 200g,2025-01-01,4818
Quesos,Queso para untar,Tarrina 250g,2025-01-01,4410
Quesos,Queso parmesano,Rallado 150g,2025-01-01,4379
Quesos,Queso ricota,Envase 250g,2025-01-01,5368
Yogur,Kumis,Botella 1L,2025-01-01,16937
Yogur,Yogur con frutas,Individual,2025-01-01,16333
Yogur,Yogur griego,Individual,2025-01-01,17065
Yogur,Yogur natural,Familiar 1L,2025-01-01,10389
Yogur,Yogur natural,Individual,2025-01-01,7762
